학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,X,Y
B000002329,서울조원초등학교,초등학교,2005-03-01,공립,본교,운영,서울특별시 관악구 신림동 548-2,서울특별시 관악구 조원로 67,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2024-11-08,37.48417783,126.909581,2025-03-21,192002.97217321687,542751.9100396491
B000012308,조선대학교부속고등학교,고등학교,1951-09-01,사립,본교,운영,광주광역시 동구 학동 산138-1,광주광역시 동구 의재로33번길 33,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2013-11-29,2024-11-08,35.13523913,126.9310523,2025-03-21,193716.2634519839,282100.73276149423
B000005518,천안용곡초등학교,초등학교,2003-03-01,공립,본교,운영,충청남도 천안시 동남구 용곡동 497-15,충청남도 천안시 동남구 새말1길 73,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2013-11-29,2024-11-08,36.78680007,127.1317727,2025-03-21,211761.97803010175,465361.05537205865
B000008532,분포중학교,중학교,2002-03-05,공립,본교,운영,부산광역시 남구 용호동 176-67,부산광역시 남구 분포로 51,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2024-11-08,35.1292159,129.1148535,2025-03-21,392772.02717800776,283478.061356825
B000011325,선일빅데이터고등학교,고등학교,1985-03-11,사립,본교,운영,서울특별시 은평구 갈현동 240-1,서울특별시 은평구 갈현로29길 27,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-11-08,37.62033713,126.9121292,2025-03-21,192242.47115201346,557863.7525737137
B000013321,창원대산고등학교,고등학교,1954-04-03,사립,본교,운영,경상남도 창원시 의창구 대산면 제동리 280-1,경상남도 창원시 의창구 대산면 진산대로 378,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2024-11-08,35.33306462,128.7099366,2025-03-21,355469.54010478087,305388.1890968553
B000004980,소야초등학교,초등학교,2002-09-02,공립,본교,운영,강원특별자치도 속초시 노학동 1-36,강원특별자치도 속초시 배움터길 42,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2013-11-29,2024-11-08,38.19953997,128.5664589,2025-03-21,337216.3646841729,623308.7339744996
B000008966,송정중학교,중학교,1944-05-07,공립,본교,운영,광주광역시 광산구 송정동 785,광주광역시 광산구 내상로15번길 23,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2024-11-08,35.14107477,126.7964135,2025-03-21,181446.9017392823,282764.95356720896
B000001848,서울전동초등학교,초등학교,1969-05-20,공립,본교,운영,서울특별시 동대문구 전농동 45-41,서울특별시 동대문구 전농로16길 61,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-11-08,37.57936573,127.061479,2025-03-21,205430.54909597285,553314.526852517
B000006006,전주장동초등학교,초등학교,1969-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 장동 258-2,전북특별자치도 전주시 덕진구 원장동길 91-12,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2024-11-08,35.84906971,127.060576,2025-03-21,205472.1441073992,361299.4822462861
